oii3726_flux	oii3726_flux_err	oii3729_flux	oii3729_flux_err	neiii3869_flux	neiii3869_flux_err	oiii4363_flux	oiii4363_flux_err	hb_flux	hb_flux_err	oiii4959_flux	oiii4959_flux_err	oiii5007_flux	oiii5007_flux_err	nii5755_flux	nii5755_flux_err	ha_flux	ha_flux_err	nii6584_flux	nii6584_flux_err	sii6716_flux	sii6716_flux_err	sii6731_flux	sii6731_flux_err	oii7320_flux	oii7320_flux_err	oii7330_flux	oii7330_flux_err	
9.72e-01	1.90e-02	1.14e+00	2.30e-02	5.20e-02	1.00e-03	8.00e-03	1.00e-03	1.00e+00	2.00e-02	3.21e-01	6.00e-03	9.67e-01	1.90e-02	6.00e-03	1.00e-03	2.87e+00	5.70e-02	8.16e-01	1.60e-02	3.28e-01	7.00e-03	2.93e-01	6.00e-03	3.00e-02	1.00e-03	2.60e-02	1.00e-03	
7.04e-01	4.00e-02	1.11e+00	4.50e-02	5.50e-02	9.00e-03	8.00e-03	2.00e-03	1.00e+00	2.00e-02	5.51e-01	1.10e-02	1.63e+00	3.30e-02	5.00e-03	1.00e-03	2.89e+00	5.80e-02	6.68e-01	1.30e-02	1.98e-01	4.00e-03	1.59e-01	3.00e-03	2.80e-02	2.00e-03	2.40e-02	2.00e-03	
7.57e-01	6.00e-02	1.14e+00	6.40e-02	6.30e-02	1.00e-03	5.00e-03	1.00e-03	1.00e+00	2.00e-02	5.03e-01	1.00e-02	1.49e+00	3.00e-02	4.00e-03	1.00e-03	2.93e+00	5.90e-02	4.78e-01	1.00e-02	2.02e-01	4.00e-03	1.47e-01	3.00e-03	1.90e-02	1.00e-03	1.60e-02	1.00e-03	
1.06e+00	2.40e-02	1.28e+00	2.60e-02	6.30e-02	5.00e-03	5.00e-03	1.00e-03	1.00e+00	2.00e-02	4.79e-01	1.00e-02	1.42e+00	2.80e-02	5.00e-03	1.00e-03	2.93e+00	5.90e-02	5.27e-01	1.10e-02	2.33e-01	5.00e-03	1.69e-01	3.00e-03	2.40e-02	1.00e-03	1.80e-02	1.00e-03	
9.25e-01	4.30e-02	1.47e+00	4.60e-02	4.70e-02	8.00e-03	6.00e-03	1.00e-03	1.00e+00	2.00e-02	4.52e-01	9.00e-03	1.32e+00	2.60e-02	6.00e-03	2.00e-03	3.00e+00	6.00e-02	5.16e-01	1.00e-02	2.45e-01	5.00e-03	1.71e-01	3.00e-03	1.90e-02	2.00e-03	1.70e-02	2.00e-03	
1.22e+00	2.40e-02	1.65e+00	3.30e-02	6.60e-02	1.00e-03	7.00e-03	1.00e-03	1.00e+00	2.00e-02	4.33e-01	9.00e-03	1.30e+00	2.60e-02	5.00e-03	1.00e-03	3.10e+00	6.20e-02	6.33e-01	1.30e-02	3.61e-01	7.00e-03	2.65e-01	5.00e-03	2.80e-02	1.00e-03	2.40e-02	1.00e-03	
1.34e+00	2.70e-02	1.47e+00	2.90e-02	6.50e-02	1.00e-03	6.00e-03	1.00e-03	1.00e+00	2.00e-02	4.86e-01	1.00e-02	1.44e+00	2.90e-02	5.00e-03	1.00e-03	3.00e+00	6.00e-02	5.30e-01	1.10e-02	2.32e-01	5.00e-03	1.72e-01	3.00e-03	2.50e-02	1.00e-03	2.10e-02	1.00e-03	
8.80e-01	2.70e-02	1.07e+00	3.10e-02	3.21e-02	1.10e-03	2.03e-03	2.20e-04	1.00e+00	2.00e-02	3.26e-01	6.50e-03	9.80e-01	2.00e-02	4.38e-03	2.50e-04	3.02e+00	6.00e-02	6.50e-01	2.70e-02	1.61e-01	6.60e-03	1.16e-01	5.20e-03	1.21e-02	5.00e-04	1.03e-02	4.40e-04	
1.03e+00	2.30e-02	1.40e+00	2.90e-02	3.20e-02	8.30e-04	4.03e-03	5.70e-04	1.00e+00	2.00e-02	3.84e-01	7.70e-03	1.17e+00	2.30e-02	5.05e-03	9.50e-04	2.87e+00	5.70e-02	6.50e-01	2.00e-02	2.40e-01	7.70e-03	1.70e-01	5.80e-03	1.64e-02	8.40e-04	1.56e-02	8.40e-04	
7.40e-01	2.20e-02	8.70e-01	2.40e-02	1.07e-01	2.30e-03	6.58e-03	2.60e-04	1.00e+00	2.00e-02	8.60e-01	1.70e-02	2.60e+00	5.20e-02	3.69e-03	2.60e-04	2.81e+00	5.60e-02	4.00e-01	1.40e-02	1.13e-01	4.30e-03	9.02e-02	3.40e-03	1.48e-02	4.90e-04	1.25e-02	4.40e-04	
1.11e+00	2.90e-02	1.38e+00	3.00e-02	8.01e-02	1.60e-03	6.58e-03	4.10e-04	1.00e+00	2.00e-02	5.80e-01	1.20e-02	1.75e+00	3.50e-02	4.87e-03	6.40e-04	2.87e+00	5.70e-02	5.30e-01	1.10e-02	2.52e-01	5.00e-03	1.79e-01	3.60e-03	1.77e-02	4.30e-04	1.41e-02	4.40e-04	
1.09e+00	3.30e-02	1.41e+00	3.80e-02	4.59e-02	1.40e-03	3.43e-03	6.80e-04	1.00e+00	2.00e-02	2.74e-01	5.50e-03	8.20e-01	1.60e-02	6.10e-03	1.00e-03	2.98e+00	6.00e-02	7.10e-01	2.60e-02	4.30e-01	1.60e-02	3.00e-01	1.20e-02	1.58e-02	9.80e-04	1.62e-02	1.00e-03	
9.20e-01	2.00e-02	1.30e+00	2.60e-02	1.39e-01	2.80e-03	9.63e-03	3.50e-04	1.00e+00	2.00e-02	8.50e-01	1.70e-02	2.54e+00	5.10e-02	4.43e-03	6.50e-04	2.94e+00	5.90e-02	4.80e-01	1.10e-02	1.91e-01	5.50e-03	1.47e-01	4.80e-03	2.68e-02	1.10e-03	2.31e-02	1.10e-03	
1.12e+00	3.50e-02	1.33e+00	3.90e-02	7.91e-02	2.30e-03	7.84e-03	5.70e-04	1.00e+00	2.00e-02	5.40e-01	1.10e-02	1.62e+00	3.20e-02	5.50e-03	1.10e-03	2.79e+00	5.60e-02	6.00e-01	2.30e-02	3.70e-01	1.40e-02	2.60e-01	1.00e-02	1.65e-02	1.00e-03	1.14e-02	9.20e-04	
7.50e-01	3.40e-02	8.60e-01	3.80e-02	1.74e-01	6.70e-03	1.39e-02	3.40e-04	1.00e+00	2.00e-02	1.11e+00	2.20e-02	3.46e+00	6.90e-02	3.96e-03	1.40e-04	2.42e+00	4.80e-02	3.70e-01	2.00e-02	1.44e-01	8.00e-03	1.20e-01	6.70e-03	2.19e-02	1.40e-03	1.77e-02	1.10e-03	
1.21e+00	3.70e-02	1.60e+00	4.50e-02	2.71e-02	1.00e-03	2.91e-03	4.80e-04	1.00e+00	2.00e-02	2.77e-01	5.60e-03	8.60e-01	1.70e-02	6.63e-03	8.20e-04	2.80e+00	5.60e-02	6.70e-01	2.70e-02	4.00e-01	1.60e-02	2.80e-01	1.20e-02	2.07e-02	2.10e-03	1.59e-02	2.10e-03	
1.14e+00	2.40e-02	1.37e+00	2.80e-02	1.31e-01	2.60e-03	1.16e-02	4.00e-04	1.00e+00	2.00e-02	7.50e-01	1.50e-02	2.22e+00	4.40e-02	5.60e-03	1.60e-03	2.80e+00	5.60e-02	4.70e-01	1.50e-02	3.30e-01	1.00e-02	2.42e-01	7.70e-03	2.78e-02	1.60e-03	2.08e-02	1.60e-03	
1.27e+00	5.90e-02	1.75e+00	6.70e-02	4.10e-02	2.00e-03	5.37e-03	5.50e-04	1.00e+00	2.00e-02	3.93e-01	7.80e-03	1.20e+00	2.40e-02	7.00e-03	1.80e-03	2.81e+00	5.60e-02	6.30e-01	2.90e-02	3.70e-01	1.80e-02	2.70e-01	1.50e-02	2.40e-02	3.20e-03	2.17e-02	3.20e-03	
